City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Muros,ES,2021-07-28 17:58:28,42.7762,-9.0603,78.24,57,1,14.61
264,Porto Novo,BJ,2021-07-28 17:58:29,6.4965,2.6036,80.42,75,54,9.55
265,Parnaiba,BR,2021-07-28 17:58:29,-2.9047,-41.7767,87.75,70,20,14.97
266,Messina,IT,2021-07-28 17:58:30,38.1933,15.5497,85.78,71,0,5.01
267,Diebougou,BF,2021-07-28 17:58:30,10.9667,-3.25,75.92,78,89,7.27
268,Harper,LR,2021-07-28 17:58:30,4.375,-7.7169,78.49,70,100,5.97
269,Dasoguz,TM,2021-07-28 17:58:31,41.8363,59.9666,84.15,34,40,16.11
270,Panguipulli,CL,2021-07-28 17:58:31,-39.6333,-72.3333,46.11,52,5,2.17
271,Shush,IR,2021-07-28 17:58:31,32.1942,48.2436,105.22,8,0,26.98
272,Tessalit,ML,2021-07-28 17:58:32,20.1986,1.0114,103.44,16,65,9.4
273,Mednogorskiy,RU,2021-07-28 17:58:32,43.9178,41.1825,57.06,94,47,2.84
274,Morros,BR,2021-07-28 17:58:33,-9.4467,-46.3003,96.71,17,0,2.93
275,Great Yarmouth,GB,2021-07-28 17:58:33,52.6083,1.7305,65.55,71,60,21.81
276,Koslan,RU,2021-07-28 17:58:33,63.4564,48.8989,49.91,97,100,3.13
277,Santhia,IT,2021-07-28 17:58:34,45.3663,8.1726,81.01,78,37,2.53
278,Panaba,MX,2021-07-28 17:58:34,21.2833,-88.2667,93.81,44,30,7.81
279,Matay,EG,2021-07-28 17:58:35,28.419,30.7792,93.67,17,4,8.84
280,Neuquen,AR,2021-07-28 17:58:35,-38.9516,-68.0591,51.69,35,0,6.91
281,Sur,OM,2021-07-28 17:58:35,22.5667,59.5289,98.6,38,99,19.42
282,Santo Andre,BR,2021-07-28 17:58:36,-23.6639,-46.5383,51.37,86,90,11.5
283,Nanga Eboko,CM,2021-07-28 17:58:36,4.6833,12.3667,72.91,77,100,2.95
284,Bati,ET,2021-07-28 17:58:36,11.1833,40.0167,76.35,51,97,3.76
285,Tacoronte,ES,2021-07-28 17:58:37,28.4769,-16.4102,72.54,82,75,18.01
286,Roberval,CA,2021-07-28 17:58:37,48.5168,-72.2324,66.83,42,75,5.75
287,Newtownards,GB,2021-07-28 17:58:01,54.5924,-5.6909,61.54,85,40,1.99
288,Bandarbeyla,SO,2021-07-28 17:58:38,9.4942,50.8122,79.36,70,83,27.18
